futuristic,adjective,ˌfjuː.tʃəˈrɪs.tɪk,strange and very modern or intended or seeming to come from some imagined time in the future
flora and fauna,noun,--,The flora and fauna of a place are its plants and animals.
diurnal,adjective,/ˌdaɪˈɝː.nəl/,happening over a period of a day or being active or happening during the day rather than at night --> diurnal activity/lifestyle
nocturnal,adjective,nɒkˈtɜː.nəl,happening in or active during the night or relating to the night
forage,verb,ˈfɔːr.ɪdʒ,to go from place to place searching for things that you can eat or use --> forage for sth
crepuscular,adjective,krɪˈpʌs.kjə.lɚ,relating to or like the time of day just before the sun goes down when the light is not bright
gear,noun,ɡɪr,to design or organize sơmthing so that it is suitable for a particular purpose/ situation or a group of people => gear to sth towards sb/sth
benign,adjective,bɪˈnaɪn,pleasant and kind
breach,noun,briːtʃ,an act of breaking a law - promise - agreement or relationship => breach of sth
analogy,noun,əˈnæl.ə.dʒi,a comparison between things that have similar features often used to help explain a principle or idea => draw an analogy between
inferior,adjective,ɪnˈfɪr.i.ɚ,not good or not as good as someone or something else => A be inferior to B
generic,adjective,dʒəˈner.ɪk,shared by/ typical of or relating to a whole group of similar things rather than to any particular thing
adhere,verb,ədˈhɪər,to stick firmly => adhere to sth
altruistic,adjective,ˌæl.truˈɪs.tɪk,showing a wish to help or bring advantages to others even if it results in disadvantage for yourself
espionage,noun,ˈes.pi.ə.nɑːʒ,the discovering of secrets especially political or military information of another country or the industrial information of a business
unfettered,adjective,ʌnˈfet.əd,not limited by rules or any other controlling influence
intervention,noun,ˌɪn.t̬ɚˈven.ʃən,the action of becoming intentionally involved in a difficult situation in order to improve it or prevent it from getting worse
counteract,verb,ˌkaʊn.t̬ɚˈækt,to reduce or remove the effect of something unwanted by producing an opposite effect
notably,adverb,ˈnoʊ.t̬ə.bli,especially or most importantly
abandon,verb,əˈbæn.dən,to stop doing an activity before you have finished it => to abandon one's attempt to V
in accord with,,,(a formal) agreement
outnumber,verb,ˌaʊtˈnʌm.bɚ,to be greater in number than someone or something
inevitably,adverb,ˌɪnˈev.ə.t̬ə.bli,in a way that cannot be avoided
embody,verb,ɪmˈbɒd.i,to represent a quality or an idea exactly
impulse,noun,ˈɪm.pʌls,a sudden strong wish to do something => impulse to V
