silly,adj,ˈsɪl.i,showing little thought or judgment
fool,noun,fuːl,a person who behaves in a silly way without thinking
primitive,adj,ˈprɪm.ə.t̬ɪv,relating to human society at a very early stage of development with people living in a simple way without machines or a writing system
magnification,noun,ˌmæɡ.nə.fəˈkeɪ.ʃən,the process of making something look bigger than it is/ for example by using a magnifying glass
prism,noun,ˈprɪz.əm,a transparent glass or plastic object that separates white light that passes through it into different colours
refract,verb,rəˈfrakt,When water or glass etc. refracts light or soun. It causes it to change direction or to separate when it travels through it.
polish,verb,ˈpɑː.lɪʃ,to rub something using a piece of cloth or brush to clean it and make it shine
scratch,verb,skrætʃ,to cut or damage a surface or your skin slightly with or on something sharp or rough
utmost,adj,ˈʌt.moʊst,used to emphasize how important or serious something is
gigantic,adj,ˌdʒaɪˈɡæn.t̬ɪk,extremely large
relegate,verb,ˈrel.ə.ɡeɪt,to put someone or something into a lower or less important rank or position
frenetic,adj,frəˈnet̬.ɪk,involving a lot of excited movement or activity
incinerators,noun,ɪnˈsɪn.ə.reɪ.t̬ɚ,a device for burning things that are no longer wanted
hazardous,adj,ˈhæz.ɚ.dəs,dangerous
assembly,noun,əˈsem.bli,a group of people especially one that meets regularly for a particular purpose( such as government or more generally the process of coming together or the state of being together)
proliferation,noun,prəˌlɪf.ərˈeɪ.ʃən,the fact of something increasing a lot and suddenly in number or amount
catalyst,noun,ˈkæt̬.əl.ɪst,something that makes a chemical reaction happen more quickly without itself being changed
stringent,adj,ˈstrɪn.dʒənt,having a very severe effect or being extremely limiting
prevalence,noun,ˈprev.əl.əns,the fact that something is very common or happens often
legislation,noun,ˌledʒ.əˈsleɪ.ʃən,a law or set of laws suggested by a government and made official by a parliament
municipal,adj,mjuːˈnɪs.ə.pəl,of or belonging to a town or city
stipulate,verb,ˈstɪp.jə.leɪt,to say exactly how something must be or must be done
implement,verb,ˈɪm.plə.ment,to start using a plan or system
staggering,adj,ˈstæɡ.ɚ.ɪŋ,very shocking and surprising
vicinity,noun,vəˈsɪn.ə.t̬i,the area around a place or where the speaker is
fearsome,adj,ˈfɪə.səm,frightening
