ingenuous,adj,/ɪnˈdʒen.ju.əs/,to be naïve and innocent
calumny,noun,/ˈkæl.əm.ni/,(the act of making) a false statement meant to injure a person’s reputation/ vilify
banal,adj,/bəˈnɑːl/,too often used in the past and therefore not interesting
amenable,adj,/əˈmiː.nə.bəl/,easily persuaded - willing to accept or be influenced by a suggestion
avaricious,adj,/ˌæv.əˈrɪʃ.əs/,showing an extremely strong wish to get or keep money or possessions
construe,verb,/kənˈstruː/,to understand the meaning especially of other people's actions and statements in a particular way
decorum,noun,/dɪˈkɔr·əm/,behavior that is socially correct/ calm and polite
brazen,adj,/ˈbreɪ.zən/,(of something bad) done without trying to hide it -tro tren/ vo liem si
craven,adj,/ˈkreɪ.vən/,extremely cowardly (= not brave)
candid,adj,/ˈkæn.dɪd/,straightforward and honest
contrite,adj,/ˈkɑːn.traɪt/,feeling or expressing remorse at the recognition that one has done wrong
advocate,noun,/ˈæd.və.keɪt/,a person who publicly supports or recommends a particular cause or policy
benign,adj,/bɪˈnaɪn/,pleasant and kind / A benign growth is not cancer and is not likely to be harmful
convoluted,adj,/ˈkɑn·vəˌlu·t̬ɪd/,(especially of an argument/ story or sentence) extremely complex and difficult to follow
alacrity,noun,/əˈlæk.rə.t̬i/,speed and eagerness
desiccated,adj,/ˈdes.ə.keɪ.t̬ɪd/,dried with the moisture removed
caustic,adj,/ˈkɑː.stɪk/,sarcastic in a scathing and bitter way-able to burn or corrode organic tissue by chemical action
anachronism,noun,/əˈnæk.rə.nɪ.zəm/,Something that is inappropriate for the given time period (usually something old)
adulterate,verb,/əˈdʌl·təˌreɪt/,to make something weaker or of worse quality by adding something else to it
ameliorate,verb,/əˈmiːl.jə.reɪt/,make (something bad or unsatisfactory) better
aggrandize,verb,/əˈɡræn.daɪz/,"increase the power-status-or wealth of"
amenable,adj,/əˈmiː.nə.bəl/,easily persuaded - willing to accept or be influenced by a suggestion
deft,adj,/deft/,skilful/ clever or quick
covet,adj,/ˈkʌv.ət/,yearn to possess (something especially something belonging to another)
remorse,noun,/rɪˈmɔːrs/,a strong feeling of sadness and being sorry for something you have done
diatribe,noun,/ˈdaɪ.ə.traɪb/,an angry speech or piece of writing that severely criticizes something or someone
