intimate,adj/n/v,/ˈɪn.t̬ə.mət/,being a close personal friend or having a close personal relationship
gregarious,adj,/ɡrɪˈɡer.i.əs/,(especially of animals) living in groups
parochial,adj,/pəˈroʊ·ki·əl/,Limited to a narrow or local range of matters
inveterate,adj,/ɪnˈvet̬.ɚ.ət/,do something very often and cannot stop doing it
miser,n,/ˈmaɪ.zɚ/,someone who has a strong wish to have money and hates to spend it
fleeece,v,/fliːs/,to take someone's money dishonestly by charging too much money or by cheating them
frugal,adj,/ˈfruː.ɡəl/,careful when using money or food or (of a meal) cheap or small in amount
guffaw,verb,/ɡʌfˈɑː/,to laugh loudly especially at something stupid that someone has said or done
onomatopoeic,adj,/ˌɑː.noʊˌmæt̬.oʊˈpiː.ɪk/,(of a word) sounding similar to the noise the word refers to
enmity,noun,/ˈen.mə.t̬i/,personal enmity towards sth/sb
deep-seated,adj,/ˌdiːpˈsiː.t̬ɪd/,strongly felt or believed and very difficult to change or get rid of
ill-will,noun,/ˌɪl ˈwɪl/,bad feelings between because of things that happened in the past  
foible,noun,/ˈfɔɪ.bəl/,a strange habit or characteristic that is seen as not important and not harming anyone
peculiar,adj,/pɪˈkjuːl.jɚ/,a strange habit or characteristic that is seen as not important and not harming anyone
evasive,adj,/ɪˈveɪ.sɪv/,answering questions in a way that is not direct or clear especially because you do not want to give an honest answer
enumerate,adj,/ɪˈveɪ.sɪv/,To name things separately one by one
portentous,adj,/pɔːrˈten.t̬əs/,too serious and trying to be very important
grandiloquent,noun,/rændɪl.ə.kwənt/,A grandiloquent style or way of using language is complicated in order to attract admiration and attention especially in order to make someone or something seem important
misattribute,verb,/ˌmɪs.əˈtrɪb.juːt/,to wrongly say or think that someone or something has a particular quality or feature as a result of someone or something else
intrepid,adj,/ɪnˈtrep.ɪd/,extremely brave and showing no fear of dangerous situations
rebuke,verb,/rɪˈbjuːk/,to speak angrily to someone because you disapprove of what they have said or done
nonplussed,adj,/ˌnɑːnˈplʌst/,surprised confused and not certain how to react
flounder,adj,/ˈflaʊn.dɚ/,to experience great difficulties or be completely unable to decide what to do or say next
recapitulation,noun,/ˌriː.kəˌpɪtʃ.əˈleɪ.ʃən/,a summary (think of recap)
noisome,adj,/ˈnɔɪ.səm/,very unpleasant and offensive
encumber,verb,/ɪnˈkʌm.bɚ/,to weigh someone or something down or to make it difficult for someone to do something
inure,verb,/ɪnˈjʊr/,to make accustomed to something unpleasant
modicum,noun,/ˈmɑː.dɪ.kəm/,a small amount of something
